Date,Time,Commands,Supply V,Supply I,Restart,Clamp  pos,Clamp  speed,Clamp  I,Clamp  status,Clamp  error,Cutter Counts,Cutter speed,Cutter I,Cutter status,Cutter error,Tip Diameter,Radial speed,Radial I,Radial status,Radial error,Head Rotation,Rotate speed,Rotate I,Rotate status,Rotate error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,Clamp SPI errors,Cutter SPI errors,Radial SPI errors,Rotate SPI errors,Debug
01/11/2012,10:30:00,,322,82,,,,,0,,8704,400,9,16,,,,,0,,,,,0,,,,69,314,30,,,,,1,,Test cutter speed = 400
01/11/2012,10:30:01,,321,89,,,,,0,,8704,400,18,16,,,,,0,,,,,0,,,,70,314,30,,,,,,,Test cutter speed = 400
01/11/2012,10:30:01,,317,98,,,,,0,,8704,400,45,16,,,,,0,,,,,0,,27,,69,302,30,,,,,,,Test cutter speed = 400
01/11/2012,10:30:02,,317,110,,,,,0,,8704,400,100,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 400
01/11/2012,10:30:03,,319,120,,,,,0,,8704,400,145,16,,,,,0,,,,,0,,,19,69,302,31,,,,,,,Test cutter speed = 400
01/11/2012,10:30:03,,321,129,,,,,0,,8704,400,245,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 400
01/11/2012,10:30:04,,317,135,,,,,0,,8704,400,254,16,,,,,0,,,,,0,,,,69,306,30,,,,,,1,Test cutter speed = 400
01/11/2012,10:30:04,,320,139,,,,,0,,8704,400,191,16,,,,,0,,,,,0,,,,68,290,30,,,,,,,Test cutter speed = 400
01/11/2012,10:30:05,,328,144,,,,,0,,8704,600,182,16,,,,,0,,,,,0,,27,,69,326,30,,,,,,,Test cutter speed = 400
01/11/2012,10:30:06,,330,152,,,,,0,,8704,1000,200,16,,,,,0,,,,,0,,,,69,287,30,,,,,,,Test cutter speed = 600
01/11/2012,10:30:06,,318,156,,,,,0,,8768,1400,227,16,,,,,0,,,,,0,,,22,69,283,30,,,,,,,Test cutter speed = 1000
01/11/2012,10:30:07,,319,164,,,,,0,,8768,1600,227,16,,,,,0,,,,,0,,,,70,283,30,,,,,,,Test cutter speed = 1400
01/11/2012,10:30:07,,324,162,,,,,0,,8768,2000,172,16,,,,,0,,,,,0,,,,70,287,30,,,2,,,,Test cutter speed = 1600
01/11/2012,10:30:08,,323,156,,,,,0,,8832,2000,136,16,,,,,0,,,,,0,,,,70,294,30,,,,,,,Test cutter speed = 2000
01/11/2012,10:30:09,,317,144,,,,,0,,8832,2000,82,16,,,,,0,,,,,0,,27,,69,302,30,,,,,,,Test cutter speed = 2000
01/11/2012,10:30:09,,321,136,,,,,0,,8832,1800,54,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 2000
01/11/2012,10:30:10,,317,133,,,,,0,,8896,1600,54,16,,,,,0,,,,,0,,,22,69,302,30,,,,,,,Test cutter speed = 1800
01/11/2012,10:30:11,,320,132,,,,,0,,8896,1400,54,16,,,,,0,,,,,0,,,,70,294,30,,,,,,,Test cutter speed = 1600
01/11/2012,10:30:11,,321,134,,,,,0,,8896,2000,54,16,,,,,0,,,,,0,,,,69,302,30,,,,14,,,Test cutter speed = 1400
01/11/2012,10:30:12,,312,136,,,,,0,,8960,2000,64,16,,,,,0,,,,,0,,,,69,306,30,,,,,,,Test cutter speed = 2000
01/11/2012,10:30:12,,324,140,,,,,0,,8960,2200,54,16,,,,,0,,,,,0,,23,,68,298,30,,,,,,,Test cutter speed = 2000
01/11/2012,10:30:13,,321,142,,,,,0,,9024,2200,64,16,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 2200
01/11/2012,10:30:14,,321,145,,,,,0,,9024,2400,64,16,,,,,0,,,,,0,,,16,69,306,30,,,,,,,Test cutter speed = 2200
01/11/2012,10:30:14,,317,148,,,,,0,,9088,2400,73,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 2400
01/11/2012,10:30:15,,321,151,,,,,0,,9088,2600,64,16,,,,,0,,,,,0,,,,68,302,30,,,,,1,,Test cutter speed = 2400
01/11/2012,10:30:15,,318,153,,,,,0,,9152,2600,64,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:30:16,,317,153,,,,,0,,9152,2600,64,16,,,,,0,,,,,0,,27,,69,298,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:30:17,,322,153,,,,,0,,9216,2600,73,16,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:30:17,,330,156,,,,,0,,9216,2800,73,16,,,,,0,,,,,0,,,22,69,294,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:30:18,,321,160,,,,,0,,9280,3000,73,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 2800
01/11/2012,10:30:19,,328,167,,,,,0,,9280,3200,82,16,,,,,0,,,,,0,,,,68,287,30,,,,,,1,Test cutter speed = 3000
01/11/2012,10:30:19,,320,175,,,,,0,,9344,3400,91,16,,,,,0,,,,,0,,,,69,290,31,,,,,,,Test cutter speed = 3200
01/11/2012,10:30:20,,322,180,,,,,0,,9344,3600,91,16,,,,,0,,,,,0,,27,,69,294,30,,,,,,,Test cutter speed = 3400
01/11/2012,10:30:20,,312,185,,,,,0,,9408,3800,109,16,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 3600
01/11/2012,10:30:21,,324,192,,,,,0,,9472,3800,154,16,,,,,0,,,,,0,,,22,69,283,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:30:22,,319,195,,,,,0,,9536,4000,200,18,,,,,0,,,,,0,,,,69,263,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:30:22,,321,198,,,,,0,,9536,4000,191,18,,,,,0,,,,,0,,,,69,279,30,,,2,,,,Test cutter speed = 4000
01/11/2012,10:30:23,,317,198,,,,,0,,9600,3800,200,18,,,,,0,,,,,0,,,,70,283,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:30:23,,328,197,,,,,0,,9664,4000,200,18,,,,,0,,,,,0,,26,,68,298,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:30:24,,318,200,,,,,0,,9664,3800,200,18,,,,,0,,,,,0,,,,69,302,31,,,,,,,Test cutter speed = 4000
01/11/2012,10:30:25,,320,199,,,,,0,,9728,4000,200,18,,,,,0,,,,,0,,,22,69,298,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:30:25,,319,200,,,,,0,,9792,3800,200,18,,,,,0,,,,,0,,,,70,283,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:30:25,,317,199,,,,,0,,9856,3800,200,18,,,,,0,,,,,0,,,,70,287,30,,,,14,,,Test cutter speed = 3800
01/11/2012,10:30:26,,362,204,,,,,0,,9856,3800,200,18,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:30:27,,419,213,,,,,0,,9920,5000,236,18,,,,,0,,,,,0,,28,,70,373,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:30:27,,447,214,,,,,0,,9984,5400,254,18,,,,,0,,,,,0,,,,70,408,30,,,,,,,Test cutter speed = 5000
01/11/2012,10:30:28,,467,215,,,,,0,,10048,5600,254,18,,,,,0,,,,,0,,,23,69,432,30,,,,,,,Test cutter speed = 5400
01/11/2012,10:30:28,,497,215,,,,,0,,10112,6000,254,18,,,,,0,,,,,0,,,,68,459,30,,,,,,,Test cutter speed = 5600
01/11/2012,10:30:29,,503,217,,,,,0,,10240,6400,263,18,,,,,0,,,,,0,,,,69,459,30,,,,,1,,Test cutter speed = 6000
01/11/2012,10:30:30,,518,217,,,,,0,,10304,6600,281,18,,,,,0,,,,,0,,,,69,495,30,,,,,,,Test cutter speed = 6400
01/11/2012,10:30:30,,515,217,,,,,0,,10368,6800,281,18,,,,,0,,,,,0,,27,,70,471,30,,,,,,,Test cutter speed = 6600
01/11/2012,10:30:30,,525,216,,,,,0,,10432,6800,272,18,,,,,0,,,,,0,,,,70,498,30,,,,,,,Test cutter speed = 6800
01/11/2012,10:30:31,,526,216,,,,,0,,10560,6800,272,18,,,,,0,,,,,0,,,23,69,471,30,,,,,,,
01/11/2012,10:30:32,,530,216,,,,,0,,10624,7000,245,18,,,,,0,,,,,0,,,,70,487,30,,,,,,,
01/11/2012,10:30:32,,530,215,,,,,0,,10688,7000,254,18,,,,,0,,,,,0,,,,70,487,30,,,,,,1,
01/11/2012,10:30:33,,572,213,,,,,0,,10752,7000,227,18,,,,,0,,,,,0,,,,70,530,30,,,,,,,
01/11/2012,10:30:33,,574,207,,,,,0,,10880,7000,182,18,,,,,0,,,,,0,,27,,69,542,30,,,,,,,
01/11/2012,10:30:34,,,206,,,,,0,,10944,6800,145,18,,,,,0,,,,,0,,,,69,546,30,,,,,,,Test cutter speed = 7000
01/11/2012,10:30:34,,580,202,,,,,0,,11008,6600,136,18,,,,,0,,,,,0,,,21,69,550,30,,,,,,,
01/11/2012,10:30:35,,580,200,,,,,0,,11136,7000,136,18,,,,,0,,,,,0,,,,70,553,30,,,,,,,
01/11/2012,10:30:35,,593,199,,,,,0,,11200,6600,127,18,,,,,0,,,,,0,,,,68,561,31,,,2,,,,Test cutter speed = 7000
01/11/2012,10:30:36,,586,198,,,,,0,,11264,6800,127,18,,,,,0,,,,,0,,,,69,546,30,,,,,,,
01/11/2012,10:30:36,,574,195,,,,,0,,11328,6600,127,18,,,,,0,,,,,0,,27,,69,550,30,,,,,,,
01/11/2012,10:30:36,Force M3 uplink,573,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test cutter speed = 6600
01/11/2012,10:30:37,,,,,,,,0,,11456,6600,127,18,,,,,0,,,,,0,,,,70,553,30,,,,,,,Gap to pipe test ID = 158
